TS,Track V,Car V,Car I
1609459258969,12.345782,9.134464,6.572305
1609459259097,12.275601,9.314302,6.959029
1609459259227,12.819777,0.421084,1.510643
1609459259355,12.582915,5.194472,5.444358
1609459259483,12.187876,6.655384,7.345754
1609459259611,11.880835,9.652047,9.247149
1609459259739,12.64871,8.726264,5.347677
1609459259867,12.819777,0.425471,1.510643
1609459259995,12.609234,3.952876,5.186542
1609459260124,12.249284,7.467123,7.184618
1609459260252,11.986106,9.476596,8.731517
1609459260381,12.301919,12.214193,7.216846
1609459260508,12.881186,7.326761,3.702083
1609459260637,12.802231,0.469334,1.2206
1609459260766,12.429397,7.497827,6.250034
1609459260894,12.345782,9.735387,6.572305
1609459260958,12.152785,10.586602,7.635797
1609459261092,12.148398,12.043127,7.925841
1609459261158,12.249284,12.157171,7.345754
1609459261220,12.429397,12.345782,6.314488
1609459261284,12.600461,12.521508,5.250996
1609459261348,12.552213,12.473259,5.444358
1609459261412,12.753982,10.196222,4.348638
1609459261477,12.76714,0.697421,0.028199
1609459261605,12.7803,5.606784,4.316411
1609459261669,12.604848,6.835496,5.347677
1609459261733,12.569757,6.668542,5.508812
1609459261797,12.539053,7.037266,5.63772
1609459261863,12.499578,7.712756,5.863309
1609459261925,12.403078,8.62538,6.378942
1609459261989,12.363602,8.691174,6.572305
1609459262053,12.196648,10.283949,7.377981
1609459262117,12.205421,12.091376,7.506889
1609459262269,12.398692,12.315078,6.411169
1609459262333,12.508349,12.438169,5.702174
1609459262397,12.604848,12.53028,5.218769
1609459262525,12.86364,10.218154,3.702083
1609459262589,12.775914,0.631627,0.221561
1609459262653,12.789072,0.543901,0.769421
1609459262717,12.815391,0.434243,1.413962
1609459262782,12.569757,5.558536,5.412131
1609459262845,12.679415,5.242722,4.832044
1609459262909,12.828549,0.342131,1.994049
1609459263037,12.512735,4.167805,5.702174
1609459263101,12.403078,5.922872,6.314488
1609459263165,12.091376,7.396942,7.829159
1609459263229,12.231738,7.247808,7.216846
1609459263295,12.08699,8.612221,7.861386
1609459263357,12.095762,8.954351,7.925841
1609459263519,12.784686,0.548287,0.769421
1609459263583,12.811005,0.394767,1.607324
1609459263711,12.192262,7.954276,7.249073
1609459263778,12.354828,8.406064,6.443396
1609459263904,12.187876,9.094988,7.087937
1609459263968,12.240512,9.362552,7.05571
1609459264096,12.789072,0.513197,0.930556
1609459264224,12.828549,0.307041,2.187411
1609459264288,12.539053,4.536528,5.347677
1609459264352,12.266829,6.146574,6.701213
1609459264416,12.10015,7.664506,7.732478
1609459264480,12.038741,8.678016,8.183658
1609459264608,12.06506,10.156746,8.280338
1609459264736,12.802231,0.469334,1.252827
1609459264800,12.868026,2.799006,3.605402
1609459264928,12.609234,5.26904,5.08986
1609459265091,12.130853,7.081129,7.506889
1609459265155,11.784335,9.336233,9.633875
1609459265283,12.227352,12.135241,7.571343
1609459265411,12.86364,6.050075,3.218677
1609459265539,12.73205,6.405365,4.477546
1609459265667,12.53028,8.063933,5.669947
1609459265795,12.179103,9.116919,7.377981
1609459265923,11.98172,10.93312,8.441474
1609459266052,12.183489,12.08699,7.60357
1609459266180,12.482032,12.394306,5.734401
1609459266308,12.574143,12.499578,5.347677
1609459266436,12.86364,5.66408,3.121996
1609459266564,12.872412,3.514246,3.605402
1609459266692,12.460099,6.940767,5.895536
1609459266820,12.297533,9.077442,6.701213
1609459266948,12.148398,10.722578,7.571343
1609459267077,12.029969,11.937856,8.183658
1609459267204,12.425009,12.337009,6.217807
1609459267333,12.539053,12.468873,5.508812
1609459267461,12.749596,10.608535,4.477546
1609459267589,12.789072,0.561446,0.67274
1609459267717,12.811005,3.882696,4.05658
1609459267845,12.644324,5.470809,5.057633
1609459267973,12.214193,6.677315,7.184618
1609459268101,11.977334,9.03358,8.441474
1609459268229,12.872412,4.852342,3.637629
1609459268357,12.64871,5.466423,4.896498
1609459268485,12.372374,7.651348,6.346715
1609459268613,12.301919,9.248507,6.572305
1609459268742,12.293147,9.511686,6.797894
1609459268870,12.802231,0.443016,1.317281
1609459268998,12.828549,0.285109,2.316319
1609459269127,12.25367,6.225527,6.797894
1609459269255,12.201034,7.1864,7.216846
1609459269383,11.872062,10.226927,9.343831
1609459269511,12.600461,9.441505,5.412131
1609459269639,12.802231,0.451789,1.317281
1609459269767,12.582915,4.4573,5.412131
1609459269895,12.266829,7.730301,7.120164
1609459270024,11.937856,9.84943,8.860425
1609459270153,12.337009,12.236124,6.894575
1609459270281,12.811005,2.18465,1.2206
1609459270409,12.74521,5.655308,4.477546
1609459270538,12.394306,8.441154,6.378942
1609459270671,12.297533,10.011724,6.894575
1609459270799,12.012424,11.898379,8.602609
1609459270927,12.218579,12.117695,7.410208
1609459271057,12.429397,12.345782,6.088899
1609459271205,12.683801,11.301844,4.799817
1609459271269,12.868026,7.568008,3.637629
1609459271333,12.784686,0.578991,0.543832
1609459271397,12.762754,6.440455,4.316411
1609459271463,12.53028,7.936731,5.605493
1609459271591,12.433783,8.528881,6.088899
1609459271655,12.389918,9.74416,6.314488
1609459271719,12.135241,10.235699,7.571343
1609459271783,12.043127,11.937856,8.15143
1609459271847,12.152785,12.082604,7.474662
1609459271911,12.113308,12.01681,7.829159
1609459272039,12.381146,12.306305,6.282261
1609459272103,12.451327,12.389918,5.573266
1609459272167,12.420623,12.332623,5.573266
1609459272231,12.49519,12.442554,4.928725
1609459272295,12.512735,12.297533,4.76759
1609459272450,12.539053,0.513197,0.962783
1609459272514,12.547826,0.412312,1.575097
1609459272578,12.403078,5.229563,4.832044
1609459272642,12.644324,3.237636,3.605402
1609459272708,12.407464,5.198859,4.993179
1609459272834,12.10015,7.919186,7.893613
1609459272898,12.187876,8.708719,7.506889
1609459272962,11.915925,9.691524,8.957107
1609459273026,12.438169,8.770127,6.282261
1609459273090,12.789072,0.513197,0.962783
1609459273156,12.692575,5.106747,4.413092
1609459273282,12.337009,7.405715,6.314488
1609459273347,12.262443,8.89733,6.862348
1609459273475,12.25367,9.678365,6.894575
1609459273539,12.161557,9.989792,7.635797
1609459273603,12.425009,8.888557,6.282261
1609459273761,12.828549,2.158332,3.283131
1609459273889,12.398692,5.795669,5.347677
1609459274017,12.139627,7.129378,7.539116
1609459274081,11.942244,8.774514,8.795971
1609459274146,11.832585,11.709768,9.666101
1609459274209,12.192262,10.994529,7.764705
1609459274273,12.850481,3.623904,2.864179
1609459274401,12.675029,4.878659,4.542
1609459274529,12.53028,5.734261,5.186542
1609459274594,12.552213,5.435719,5.025406
1609459274659,12.438169,5.620217,5.154314
1609459274786,12.108922,6.844269,7.764705
1609459274850,11.749245,10.643624,9.956145
1609459274978,12.293147,12.201034,7.152391
1609459275107,12.7803,0.543901,0.704967
1609459275235,12.442554,7.879709,5.63772
1609459275364,12.37676,9.195872,6.18558
1609459275491,12.28876,10.077518,6.894575
1609459275556,12.082604,11.990492,7.990295
1609459275684,12.144012,12.038741,7.893613
1609459275812,12.32385,12.227352,6.797894
1609459275940,12.411851,12.332623,5.702174
1609459276068,12.345782,9.094988,3.830991
1609459276196,12.503963,4.869887,3.637629
1609459276324,12.372374,8.046388,5.798855
1609459276452,12.367988,9.25728,6.024445
1609459276580,12.06506,11.073483,7.990295
1609459276708,12.148398,12.056287,7.635797
1609459276836,12.359216,12.275601,6.572305
1609459276964,12.552213,12.477645,5.412131
1609459277092,12.552213,12.477645,5.347677
1609459277220,12.784686,0.578991,0.608286
1609459277350,12.587303,6.238685,5.250996
1609459277478,12.824162,0.324586,2.026276
1609459277606,12.512735,8.362202,5.347677
1609459277734,12.10015,8.651697,8.119204
1609459277862,12.148398,9.410801,7.635797
1609459277990,12.644324,7.910413,4.864271
1609459278118,12.850481,0.188611,2.799725
1609459278246,12.021196,6.870586,7.893613
1609459278375,12.130853,10.270789,7.635797
1609459278503,12.231738,10.046814,7.05571
1609459278631,12.811005,0.39038,1.671778
1609459278759,12.306305,5.286585,5.959991
1609459278887,12.266829,8.107797,6.701213
1609459279015,12.122081,9.74416,7.893613
1609459279143,11.924698,11.819426,9.214923
1609459279271,12.793459,0.513197,0.898329
1609459279400,12.639938,5.207632,5.025406
1609459279528,12.468873,6.668542,5.992218
1609459279656,12.148398,7.66012,7.60357
1609459279785,12.038741,11.924698,8.69929
1609459279912,12.582915,10.832235,5.444358
1609459280041,12.854867,3.382658,2.799725
1609459280169,12.53028,8.015684,5.669947
1609459280319,12.271214,10.130428,7.05571
1609459280449,12.117695,12.012424,7.861386
1609459280577,12.179103,12.082604,7.796932
1609459280705,12.425009,12.337009,6.153353
1609459280833,12.622394,12.560985,4.993179
1609459280961,12.850481,5.146223,2.574136
1609459281089,12.73205,7.028493,4.542
1609459281217,12.411851,8.594675,6.088899
1609459281345,12.293147,9.910838,6.701213
1609459281496,12.126467,12.043127,7.764705
1609459281560,12.108922,12.008037,7.925841
1609459281625,12.205421,12.104536,7.442435
1609459281689,12.354828,12.271214,6.668986
1609459281753,12.534667,12.442554,5.63772
1609459281817,12.477645,12.403078,5.573266
1609459281882,12.552213,12.464487,5.154314
1609459281945,12.425009,12.332623,5.412131
1609459282073,12.670642,0.578991,0.511604
1609459282138,12.688187,0.464948,1.2206
1609459282201,12.705732,0.385994,1.704005
